"","article","word","wordbefore","wordafter"
"129","SLGD_1904_04_30_P2_001.txt","ity","ox","sung"
"130","SLGD_1904_04_30_P2_001.txt","chure","johns","choir"
"131","SLGD_1904_04_30_P2_001.txt","taft","william","gen"
"132","SLGD_1904_04_30_P2_001.txt","chaffee","gen","grounds"
"133","SLGD_1904_04_30_P2_001.txt","oclock","barracks","ery"
"134","SLGD_1904_04_30_P2_001.txt","ery","oclock","tes"
"135","SLGD_1904_04_30_P2_001.txt","tes","ery","ne"
"136","SLGD_1904_04_30_P2_001.txt","ne","tes","command"
"137","SLGD_1904_04_30_P2_001.txt","lieut","command","col"
"138","SLGD_1904_04_30_P2_001.txt","sampre","col","fountain"
"139","SLGD_1904_04_30_P2_001.txt","proces","troops","othe"
"140","SLGD_1904_04_30_P2_001.txt","othe","proces","residence"
"141","SLGD_1904_04_30_P2_001.txt","nugent","daniel","westminster"
"142","SLGD_1904_04_30_P2_001.txt","westminster","nugent","judge"
"143","SLGD_1904_04_30_P2_001.txt","tdafts","judge","escort"
"144","SLGD_1904_04_30_P2_001.txt","anothér","formed","troop"
"145","SLGD_1904_04_30_P2_001.txt","chaffee","gen","grounds"
"146","SLGD_1904_04_30_P2_001.txt","mepherson","residence","avenue"
"147","SLGD_1904_04_30_P2_001.txt","rospecsvery","composed","regulation"
"148","SLGD_1904_04_30_P2_001.txt","havé","thieves","attracted"
"149","SLGD_1904_04_30_P2_001.txt","eee","fete","robert"
"150","SLGD_1904_04_30_P2_001.txt","ternational","thief","ag"
"151","SLGD_1904_04_30_P2_001.txt","shevlin","john","hot"
"152","SLGD_1904_04_30_P2_001.txt","markham","detective","filipinos"
"153","SLGD_1904_04_30_P2_001.txt","moros","sit","nt"
"154","SLGD_1904_04_30_P2_001.txt","nt","moros","bos"
"155","SLGD_1904_04_30_P2_001.txt","phili","tribes","pies"
"156","SLGD_1904_04_30_P2_001.txt","cuartel","shelter","dwell"
"157","SLGD_1904_04_30_P2_001.txt","igorrotes","lake","move"
"158","SLGD_1904_04_30_P2_001.txt","dr","wees","wilson"
"159","SLGD_1904_04_30_P2_001.txt","phfifees","chairman","board"
"160","SLGD_1904_04_30_P2_001.txt","se","ps","buildings"
"161","SLGD_1904_04_30_P2_001.txt","vyilages","buildings","roads"
"162","SLGD_1904_04_30_P2_001.txt","tere","bas","extra"
"163","SLGD_1904_04_30_P2_001.txt","accom","pig","ion"
"164","SLGD_1904_04_30_P2_001.txt","tg","round","roads"
"165","SLGD_1904_04_30_P2_001.txt","recordbreaking","reported","sroaa"
"166","SLGD_1904_04_30_P2_001.txt","sroaa","recordbreaking","ed"
"167","SLGD_1904_04_30_P2_001.txt","recordt","ed","expected"
"168","SLGD_1904_04_30_P2_001.txt","mh","cablegram","dent"
"169","SLGD_1904_04_30_P2_001.txt","municivat","dent","councft"
"170","SLGD_1904_04_30_P2_001.txt","councft","municivat","batis"
"171","SLGD_1904_04_30_P2_001.txt","batis","councft","france"
"172","SLGD_1904_04_30_P2_001.txt","ity","human","representatives"
"173","SLGD_1904_04_30_P2_001.txt","inatguration","assist","ceremo"
"174","SLGD_1904_04_30_P2_001.txt","ceremo","inatguration","nies"
"175","SLGD_1904_04_30_P2_001.txt","nies","ceremo","visit"
"176","SLGD_1904_04_30_P2_001.txt","deville","sympathy","president"
"177","SLGD_1904_04_30_P2_001.txt","worid","entrances","grounds"
"178","SLGD_1904_04_30_P2_001.txt","grenes","grounds","par"
