word,confidence,bbox
"arrive,",95.8002700805664,"249,1318,361,1343"
fr,0,"390,1318,416,1339"
llowed,0,"421,1317,530,1341"
by,96.7245101928711,"550,1319,591,1345"
J.,88.0565414428711,"610,1319,637,1342"
M.,85.020355224609375,"660,1319,700,1343"
wis,95.3778305053711,"770,1324,824,1342"
of,94.37542724609375,"33,1344,68,1367"
the,93.186065673828125,"90,1344,144,1368"
Huurton,33.22541046142578,"167,1344,314,1368"
Post.,95.4967269897461,"342,1344,423,1367"
President,93.13523864746094,"461,1345,626,1370"
Hepiry,70.89775085449219,"652,1341,760,1373"
E.,90.151123046875,"787,1346,822,1369"
Warner,95.92767333984375,"35,1370,169,1395"
of,92.40081024169922,"194,1371,228,1395"
Finghamton.,67.05613708496094,"251,1371,466,1399"
N.,84.74647521972656,"504,1373,541,1397"
"Y.,",89.4735336303711,"568,1373,612,1399"
wilk,71.37540435791016,"641,1373,694,1398"
reach,95.50360107421875,"729,1373,824,1398"
the,95.06941223144531,"34,1399,87,1423"
Inside,96.39179229736328,"105,1399,209,1422"
Inn,77.81989288330078,"229,1399,284,1423"
Sunday,90.36260223388672,"303,1400,431,1429"
morning.,95.34854888916016,"448,1400,601,1429"
Receptions,96.19251251220703,"64,1427,253,1454"
at,96.79576110839844,"277,1430,311,1451"
three,96.370330810546875,"335,1427,424,1452"
state,96.24662017822266,"448,1430,533,1453"
buildings,81.2374496459961,"557,1430,716,1457"
have,95.4861831665039,"742,1429,823,1455"
been,96.775634765625,"34,1456,112,1479"
arranged.,96.00074005126953,"131,1456,298,1483"
Missouri,95.80757904052734,"330,1456,479,1481"
greets,96.33776092529297,"497,1459,605,1486"
the,93.23796081542969,"624,1456,678,1482"
humar-,90.45869445800781,"697,1458,824,1483"
