word,confidence,bbox
ure,94.51976013183594,"254,350,307,366"
all,96.3550796508789,"322,346,362,368"
fed,94.23686981201172,"383,346,430,368"
on,94.23686981201172,"446,353,484,370"
the,96.10205078125,"504,348,554,372"
dining,96.08605194091797,"570,349,678,380"
tables,94.01164245605469,"692,350,796,378"
jand,81.653533935546875,"7,382,83,415"
in,95.13905334472656,"110,381,137,401"
the,95.13905334472656,"165,382,214,402"
best,95.56227111816406,"240,382,305,403"
chairs,96.26065826416016,"332,384,434,405"
and,96.68475341796875,"458,385,518,407"
divans.,95.34864807128906,"544,387,664,411"
They,96.837982177734375,"705,388,792,417"
;mny,29.62787628173828,"7,418,87,442"
explore,95.449615478515625,"121,416,241,442"
the,96.21524810791016,"270,418,320,439"
recesses,95.39231872558594,"347,425,484,442"
of,95.9850082397461,"509,423,543,444"
mantels,96.51244354248047,"568,423,702,448"
and,95.8467025756836,"727,426,790,450"
|,92.553009033203125,"6,443,9,469"
pictures;,96.72357940673828,"25,453,168,479"
even,96.48583221435547,"185,460,259,475"
though,96.48583221435547,"280,455,394,480"
they,96.56034851074219,"413,456,484,484"
attempt,96.21942901611328,"501,460,636,488"
to,95.50208282470703,"652,462,684,484"
climb,95.50208282470703,"697,460,791,487"
jover,90.6867446899414,"6,492,94,512"
rare,96.5905990600586,"121,496,187,511"
china,95.55073547363281,"213,491,301,513"
they,96.13182830810547,"333,492,403,519"
are,95.92333221435547,"432,499,484,515"
not,95.153167724609375,"512,497,565,518"
stopped.,93.69468688964844,"591,498,728,527"
|,91.86591339111328,"2,501,8,616"
If,92.73133850097656,"54,528,80,549"
a,95.86320495605469,"106,536,113,550"
cat,95.86320495605469,"137,530,183,549"
mounts,95.25871276855469,"208,531,329,550"
a,95.25871276855469,"349,536,365,551"
table,95.677642822265625,"388,530,469,552"
at,96.35382080078125,"489,533,522,555"
which,96.59088897705078,"544,533,643,558"
a,92.99254608154297,"663,541,683,559"
Hoo-,92.315093994140625,"704,534,787,560"
Hoo,94.43824005126953,"24,565,88,586"
is,94.43824005126953,"114,566,137,586"
dining,95.81253814697266,"162,566,264,589"
and,96.26434326171875,"289,567,348,587"
insists,96.190216064453125,"376,567,482,590"
on,95.84471130371094,"505,575,544,591"
taking,96.30158996582031,"571,571,682,598"
from,95.64012908935547,"706,574,786,597"
his,95.39439392089844,"22,600,65,621"
"plate,",95.39439392089844,"98,601,186,626"
the,93.278717041015625,"219,602,269,621"
Hoo-Hoo,84.79450988769531,"301,601,451,623"
sits,96.29258728027344,"480,604,538,626"
back,95.52794647216797,"568,605,648,629"
In,68.55023193359375,"679,607,709,631"
his,96.0035171508789,"737,608,787,632"
|,88.55061340332031,"2,620,6,676"
chair,87.775665283203125,"26,636,104,658"
and,96.41968536376953,"120,637,179,658"
surrenders,96.30408477783203,"199,637,377,660"
to,96.48429107666016,"396,640,426,660"
the,96.77277374267578,"444,639,495,662"
cat.,88.969085693359375,"512,642,572,664"
|,96.22319030761719,"2,680,6,715"
All,82.8724136352539,"49,675,93,697"
this,94.59320068359375,"114,675,174,696"
is,96.48492431640625,"191,675,215,696"
because,96.11366271972656,"233,675,362,697"
the,92.83076477050781,"379,676,431,699"
Hoo-Hoo,91.467254638671875,"448,676,602,702"
is,95.458587646484375,"616,681,643,704"
himself,93.638275146484375,"660,680,786,707"
a,80.3415298461914,"19,718,35,731"
“Cat.”,0,"62,712,167,732"
The,96.10978698730469,"46,747,108,768"
angry,96.10978698730469,"131,753,228,773"
visitor,96.03284454345703,"250,748,358,768"
said,94.937286376953125,"378,749,444,770"
he,94.937286376953125,"466,748,503,771"
did,85.76811981201172,"524,750,575,773"
not,93.17384338378906,"597,752,650,774"
under-,90.59916687011719,"672,753,783,777"
~,50.42289733886719,"830,753,831,757"
wt,31.422828674316406,"21,789,43,805"
ind,95.3729476928711,"60,785,107,806"
that,95.52949523925781,"130,784,193,807"
or,95.290863037109375,"216,791,249,808"
he,96.10834503173828,"268,786,302,808"
would,96.0167007446289,"323,786,419,809"
not,96.0167007446289,"440,789,491,810"
have,95.9888916015625,"512,787,591,811"
attempted,96.48128509521484,"609,790,783,819"
to,94.67588806152344,"21,827,49,845"
eat,95.80672454833984,"71,828,116,845"
there.,95.78929138183594,"146,825,237,845"
But,94.95464324951172,"48,863,101,884"
he,94.95464324951172,"128,862,163,882"
had,96.33197021484375,"187,862,243,883"
taken,94.55146026611328,"281,861,372,883"
matters,95.27330780029297,"408,862,541,886"
in,94.29422760009766,"577,864,606,886"
his,94.29422760009766,"643,864,691,889"
own,96.39833068847656,"712,870,781,890"
hands,95.27115631103516,"19,900,114,921"
and,95.27115631103516,"132,899,190,921"
the,96.723785400390625,"210,900,259,920"
cat,96.58483123779297,"277,901,328,920"
was,96.300811767578125,"345,904,409,920"
sent,96.80208587646484,"426,901,492,922"
flying,96.29579162597656,"513,899,612,929"
from,95.42231750488281,"630,901,710,927"
the,95.42231750488281,"728,903,782,927"
|,66.88655090332031,"0,922,3,991"
table.,49.94842529296875,"19,938,96,958"
Waiters,96.09102630615234,"144,937,274,956"
were,95.73430633544922,"294,941,372,956"
immediately,88.75889587402344,"392,936,600,963"
in,93.47080993652344,"616,939,646,960"
an,92.86112976074219,"666,944,708,962"
up-,92.11627960205078,"725,944,781,966"
rear.,83.62370300292969,"17,978,92,991"
They,91.121551513671875,"133,972,213,994"
called,95.85298156738281,"240,970,334,990"
Secretary,96.11156463623047,"360,971,521,996"
"Watson,",94.7891616821289,"549,972,686,997"
who,94.84442138671875,"711,974,781,996"
"explained,",89.6800308227539,"16,1006,184,1028"
:,64.78205871582031,"813,1041,815,1043"
|,47.614803314208984,"0,1047,1,1056"
The,89.47161865234375,"44,1045,85,1067"
vistor,92.795867919921875,"125,1046,220,1066"
immediately,95.91461944580078,"240,1042,446,1071"
left,95.99552917480469,"466,1042,524,1068"
the,96.29603576660156,"544,1043,595,1069"
table,96.09285736083984,"615,1045,699,1072"
and,96.149078369140625,"717,1046,781,1073"
i,91.5298080444336,"805,1045,817,1086"
aE,21.69696044921875,"0,1068,66,1147"
building.,95.70228576660156,"87,1075,227,1109"
aay,31.204360961914062,"788,1087,811,1121"
HOW,94.727081298828125,"0,1147,117,1214"
THE,96.22364807128906,"149,1145,242,1214"
WIRELESS,95.409759521484375,"275,1146,510,1216"
MESSAGES,96.88321685791016,"371,1240,614,1308"
COME,96.94935607910156,"648,1242,782,1312"
Zip!,95.076080322265625,"44,1359,104,1388"
There's,20.278846740722656,"46,1408,168,1427"
a,94.90699768066406,"189,1413,205,1427"
story.,94.808013916015625,"227,1408,320,1432"
Zin-zip!,55.489715576171875,"41,1442,168,1464"
There,93.3270034790039,"44,1480,140,1502"
are,95.5124282836914,"160,1486,212,1501"
two,96.59549713134766,"234,1483,293,1502"
more.,96.109039306640625,"312,1485,401,1504"
They're,92.78630828857422,"42,1519,169,1544"
