place_name,count,geo_address,latitude,longitude
Atlanta,3,"Atlanta, Georgia, USA",33.748752,-84.3876845
Connecticut,3,"Hartford, Connecticut, USA",41.7658043,-72.6733723
Dallas,3,"Dallas, Texas, USA",32.7766642,-96.7969879
Havana,3,"Havana, Cuba",23.1135925,-82.3665956
Houston,3,"Houston, Texas, USA",29.7604267,-95.3698028
Milwaukee,3,"Milwaukee, Wisconsin, USA",43.0389025,-87.9064736
Minnesota,3,"Saint Paul, Minnesota, USA",44.9537029,-93.0899578
Mississippi,3,"Jackson, Mississippi, USA",32.2987573,-90.1848103
Norway,3,"Oslo, Norway",59.9138688,10.7522454
Oregon,3,"Salem, Oregon, USA",44.9428975,-123.0350963
Pima-Maricopa,3,Salt River Pima-Maricopa Indian Community,33.516711,-111.7673622
Sacramento,3,"Sacramento, California, USA",38.5815719,-121.4943996
Vienna,3,"Vienna, Austria",48.2081743,16.3738189
Alton,2,"Alton, Illinois, USA",38.8906038,-90.1842764
Argentina,2,"Buenos Aires, Argentina",-34.6036844,-58.3815591
Baltimore,2,"Baltimore, Maryland, USA",39.2903848,-76.6121893
Birmingham,2,"Birmingham, Alabama, USA",33.5185892,-86.8103567
Bridgeton,2,"Bridgeton, New Jersey, USA",39.427337,-75.2340768
Cairo,2,"Cairo, Illinois, USA",37.0053293,-89.1764608
Denmark,2,"Copenhagen, Denmark",55.6760968,12.5683371
Idaho,2,"Boise, Idaho, USA",43.6150186,-116.2023137
Inner Mongolia,2,Inner Mongolia,40.8173299,111.76522
Kwakiutl,2,"British Columbia, Canada",53.7266683,-127.6476206
Los Angeles,2,"Los Angeles, Nevada, USA",38.8026097,-116.419389
Muscogee Nation,2,Muscogee (Creek) Nation,35.645553,-95.960716
Nashville,2,"Nashville, Tennessee, USA",36.1626638,-86.7816016
Nicaragua,2,"Managua, Nicaragua",12.1149926,-86.2361744
Patagonia,2,"Santa Cruz, Argentina",-48.773682,-69.191717
Portugal,2,"Lisbon, Portugal",38.7222524,-9.1393366
Richmond,2,"Richmond, Kentucky, USA",37.7478572,-84.2946539
Switzerland,2,"Bern, Switzerland",46.9479739,7.4474468
Venice,2,"Venice, Italy",45.4408474,12.3155151
Vermont,2,"Montpelier, Vermont, USA",44.2600593,-72.5753869
Wisconsin,2,"Madison, Wisconsin, USA",43.0721661,-89.4007501
Zimbabwe,2,"Harare, Zimbabwe",-17.8216288,31.0492259
